"Participant.ID","Condition","Comprehension"
"8300a9ef6a","2.5x",61.67
"f055ca24a5","2.0x",43.33
"a1016e7c5a","1.0x",41.67
"fa76be06e5","2.0x",33.33
"ee7307c041","1.0x",31.67
"55ff88e618","2.0x",43.33
"48527a5ccf","2.0x",71.67
"0b2a6ac362","2.5x",43.33
"edf5daf920","1.5x",65
"dd6934c584","1.5x",46.67
"70c848907d","1.0x",30
"1e57b4a337","1.5x",36.67
"3ce2c00a10","1.0x",30
"84231bd7c3","1.5x",35
"6e13864a42","1.0x",35
"66350d4659","2.0x",43.33
"044e760703","2.0x",30
"bf53a59540","1.5x",51.67
"19c282b5e3","2.0x",28.33
"8cb049b0fd","1.5x",43.33
"9819d9ac55","2.0x",40
"44cc72e8a6","1.0x",40
"bee896f095","2.0x",43.33
"427aea56d1","1.5x",40
"c2930ba60c","2.5x",45
"523fdf55cb","1.0x",43.33
"1b343c3a0b","1.0x",43.33
"07c1d33921","2.5x",45
"ac20aaca79","2.5x",41.67
"a404e746c0","1.0x",43.33
"b24bcd943e","1.5x",46.67
"d7d3ddfa93","2.0x",36.67
"4795a1ebd1","2.5x",36.67
"57dcdc7f60","2.0x",26.67
"1ac6a72532","2.0x",28.33
"29edc9f628","2.5x",38.33
"aab82adbe7","1.0x",68.33
"4351deaf7d","1.5x",38.33
"0400ab8849","1.0x",28.33
"05bff97a61","2.0x",50
"cb3a31103b","1.0x",35
"67f4d78b32","2.5x",38.33
"0ff0ba1991","2.0x",61.67
"22cf03bd43","1.0x",55
"cd13c65265","1.5x",53.33
"73f3cde504","1.0x",21.67
"a1daa8e3d7","2.0x",63.33
"b5c9fce238","1.5x",30
"614899a284","2.0x",40
"d59389d883","2.5x",26.67
"ccb96f6593","2.0x",36.67
"88e480705e","2.0x",30
"8fc4045f5c","2.5x",48.33
"50b957a4fe","1.5x",40
"8b36f84db0","2.5x",53.33
"104e6d0913","1.0x",75
"7c7af253a4","2.5x",45
"f1e7ee9ea3","2.5x",48.33
"c4faa5d0cd","2.5x",31.67
"90acd2c516","2.0x",51.67
"1ba0cd4b04","1.5x",31.67
"ca2b887616","1.0x",35
"404e7bcb81","1.0x",33.33
"5ca82003fa","1.5x",13.33
"7e7bf01b63","1.5x",33.33
"abf68da38b","1.0x",48.33
"dc12b46478","1.5x",48.33
"65f7c2c1e1","1.0x",36.67
"89a7bbba5b","2.5x",28.33
"9371454e2b","2.5x",31.67
"8ba49d2d52","1.0x",51.67
"1db6036b51","1.5x",75
"7b1dc14d6d","2.0x",40
"06dfdbaedc","1.0x",48.33
"abefb2ac16","1.5x",38.33
"47eaeb7a88","1.0x",33.33
"2c122327d5","2.5x",35
"4969b62bce","2.0x",33.33
"8b32395135","1.5x",65
"2da6f9c900","1.0x",33.33
"6162816e84","1.0x",35
"b2fedb11f2","2.5x",23.33
"58d4ea37f6","1.5x",33.33
"ff93b91c44","1.0x",43.33
"702539866e","1.5x",46.67
"5f7ff17edc","2.5x",43.33
"f50d781704","1.0x",46.67
"d3a8d05110","2.0x",35
"9e82e5628e","2.5x",38.33
"ccb2ed10f5","1.0x",28.33
"91983bf249","2.5x",36.67
"d106406a32","1.0x",35
"312881599a","1.5x",58.33
"18a6f1c753","1.0x",56.67
"5d7a107881","1.5x",18.33
"fb89026cab","2.5x",65
"4c42a50012","1.5x",63.33
"2cff9bf49e","2.5x",38.33
"5212075f67","2.5x",35
"68c809715a","1.0x",61.67
"8a31eb87bc","2.0x",61.67
