BYrId,Season,CalfWeight,FirstWeight,NewWeightDate,WeightType,Primiparous,OwnSex,Age,Foffspring,Inbred,AdjF,BlueBerry,Gras,Heath,Human,ShortHerbs,TallHerbs,Unproductive,Water,Deciduous,Open,Pine,Spruce,YearObsv,BirthYr,IdNr,DayswObsv,BlueHeath,DecidPine,GrasShort,HeathGrass,Conifer,Closed,AgeClass1,AgeClass2,AgeClass3
2009-1204,Summer,95.13614337,86,283,Slaughter,0,2,9,0,0,-0.118329743,0.038426954,0.404263197,0.208465566,0,0.146236644,0.133476145,0.001229768,0.067901724,0.131267851,0.743533799,0.031021898,0.094176452,10172,2009,1204,137,0.246892521,0.162289749,0.550499841,0.612728763,0.12519835,0.256466201,Prime,Prime,Old
2009-1252,Summer,68.26488249,72,276,Slaughter,0,2,7,0.0234375,0,-0.118329743,0.016132445,0.471230565,0.053251493,0.000912409,0.102256619,0.348837859,0.000952079,0.006426531,0.148630065,0.626699007,0.052804305,0.171866624,10178,2009,1252,137,0.069383938,0.201434369,0.573487184,0.524482058,0.224670928,0.373300993,Prime,Prime,Old
2009-1252,Summer,78.10363405,77,277,Slaughter,0,2,7,0.0234375,0,-0.118329743,0.016132445,0.471230565,0.053251493,0.000912409,0.102256619,0.348837859,0.000952079,0.006426531,0.148630065,0.626699007,0.052804305,0.171866624,10178,2009,1252,137,0.069383938,0.201434369,0.573487184,0.524482058,0.224670928,0.373300993,Prime,Prime,Old
2009-1259,Summer,68.10363405,72,277,Slaughter,0,2,6,0.21875,0.203125,0.084795257,0.198484848,0.319731405,0.351101928,0,0,0.124621212,0.002651515,0.003409091,0.333712121,0.545075758,0.110227273,0.010984848,8254,2009,1259,110,0.549586777,0.443939394,0.319731405,0.670833333,0.121212121,0.454924242,Prime,Prime,Old
2009-1259,Summer,72.10363405,74,277,Slaughter,0,2,6,0.21875,0.203125,0.084795257,0.198484848,0.319731405,0.351101928,0,0,0.124621212,0.002651515,0.003409091,0.333712121,0.545075758,0.110227273,0.010984848,8254,2009,1259,110,0.549586777,0.443939394,0.319731405,0.670833333,0.121212121,0.454924242,Prime,Prime,Old
2009-1274,Summer,146.6547469,161,56,Marked,0,2,5,0.46875,0.3125,0.194170257,0.027755739,0.39250767,0.222178145,0,0.133198456,0.202726648,0.003345499,0.018287845,0.089852428,0.810417328,0.066420713,0.033309531,5133,2009,1274,137,0.249933883,0.156273141,0.525706125,0.614685814,0.099730244,0.189582672,Young,Prime,Old
2009-1274,Winter,146.6547469,161,56,Marked,0,2,5,0.46875,0.3125,0.194170257,0.015873016,0.257936508,0.027777778,0.009920635,0.319013112,0.367494824,0.001984127,0,0.119478951,0.547187716,0.115079365,0.218253968,5133,2009,1274,21,0.043650794,0.234558316,0.57694962,0.285714286,0.333333333,0.452812284,Young,Prime,Old
2009-1302,Summer,69.23943904,70,276,Slaughter,0,2,3,0,0.25,0.131670257,0.108722099,0.303170951,0.320123241,0,0.056569343,0.195599281,0.001520681,0.014294404,0.142044853,0.637773723,0.092272295,0.127909129,5116,2009,1302,137,0.42884534,0.234317148,0.359740294,0.623294192,0.220181424,0.362226277,Young,Prime,Old
2009-1302,Winter,69.23943904,70,276,Slaughter,0,2,3,0,0.25,0.131670257,0.00625,0.351684783,0.063333333,0,0.105398551,0.473333333,0,0,0.421702899,0.365797101,0.06875,0.14375,5116,2009,1302,20,0.069583333,0.490452899,0.457083333,0.415018116,0.2125,0.634202899,Young,Prime,Old
2009-1307,Summer,68.10363405,72,277,Slaughter,0,2,7,0.124023,0.109375,-0.008954743,0.034008306,0.400550881,0.118418996,0,0.029715308,0.412981848,0,0.00432466,0.359597555,0.452125722,0.081225731,0.107050991,9848,2009,1307,137,0.152427303,0.440823287,0.430266189,0.518969877,0.188276723,0.547874278,Prime,Prime,Old
2009-1307,Summer,165.3824023,171,58,Marked,0,2,7,0.124023,0.109375,-0.008954743,0.034008306,0.400550881,0.118418996,0,0.029715308,0.412981848,0,0.00432466,0.359597555,0.452125722,0.081225731,0.107050991,9848,2009,1307,137,0.152427303,0.440823287,0.430266189,0.518969877,0.188276723,0.547874278,Prime,Prime,Old
2010-1204,Summer,114.5973139,95,282,Slaughter,0,2,10,0,0,-0.098718084,0.001860119,0.438858753,0.289316686,0,0.119975753,0.039643181,0,0.110345508,0.112961177,0.878854299,0.002232143,0.005952381,6303,2010,1204,112,0.291176805,0.11519332,0.558834506,0.728175439,0.008184524,0.121145701,Prime,Prime,Old
2010-1204,Winter,114.5973139,95,282,Slaughter,0,2,10,0,0,-0.098718084,0.010515873,0.511265072,0.192844471,0.000347222,0.057621779,0.206175423,0.001041667,0.020188492,0.299321822,0.636212255,0.033680556,0.030785367,6303,2010,1204,120,0.203360344,0.333002378,0.568886852,0.704109543,0.064465923,0.363787745,Prime,Prime,Old
2010-1252,Summer,97.93951693,85,276,Slaughter,0,2,8,0.0234375,0,-0.098718084,0.03747728,0.429177125,0.145544224,0.006479425,0.03163017,0.328070454,0.003677284,0.017944039,0.126018195,0.610867882,0.101945751,0.161168172,17490,2010,1252,137,0.183021504,0.227963946,0.460807295,0.574721349,0.263113922,0.389132118,Prime,Prime,Old
2010-1252,Summer,203.2791311,197,58,Marked,0,2,8,0.0234375,0,-0.098718084,0.03747728,0.429177125,0.145544224,0.006479425,0.03163017,0.328070454,0.003677284,0.017944039,0.126018195,0.610867882,0.101945751,0.161168172,17490,2010,1252,137,0.183021504,0.227963946,0.460807295,0.574721349,0.263113922,0.389132118,Prime,Prime,Old
2010-1252,Winter,97.93951693,85,276,Slaughter,0,2,8,0.0234375,0,-0.098718084,0.038888889,0.481548578,0.126247987,0.018518519,0.083413849,0.241478798,0.00308642,0.006816962,0.370799785,0.500738057,0.059312936,0.069149222,17490,2010,1252,135,0.165136876,0.430112721,0.564962426,0.607796565,0.128462158,0.499261943,Prime,Prime,Old
2010-1252,Winter,203.2791311,197,58,Marked,0,2,8,0.0234375,0,-0.098718084,0.038888889,0.481548578,0.126247987,0.018518519,0.083413849,0.241478798,0.00308642,0.006816962,0.370799785,0.500738057,0.059312936,0.069149222,17490,2010,1252,135,0.165136876,0.430112721,0.564962426,0.607796565,0.128462158,0.499261943,Prime,Prime,Old
2010-1259,Summer,68.27194836,70,282,Slaughter,0,2,7,0.191406,0.203125,0.104406916,0.336665609,0.195572834,0.265418386,0,0.001824818,0.191632286,0.004932297,0.003953771,0.461996192,0.351092246,0.17868666,0.008224902,4924,2010,1259,137,0.602083994,0.640682852,0.197397652,0.46099122,0.186911562,0.648907754,Prime,Prime,Old
2010-1274,Summer,54.10076538,63,275,Slaughter,0,2,6,0,0.3125,0.213781916,0.005170316,0.376044642,0.116021369,0,0.233814662,0.260076166,0,0.008872845,0.150970591,0.781471491,0.031683064,0.035874855,17492,2010,1274,137,0.121191685,0.182653655,0.609859304,0.492066011,0.067557918,0.218528509,Prime,Prime,Old
2010-1274,Summer,54.42613094,65,275,Slaughter,0,2,6,0,0.3125,0.213781916,0.005170316,0.376044642,0.116021369,0,0.233814662,0.260076166,0,0.008872845,0.150970591,0.781471491,0.031683064,0.035874855,17492,2010,1274,137,0.121191685,0.182653655,0.609859304,0.492066011,0.067557918,0.218528509,Prime,Prime,Old
2010-1274,Winter,54.10076538,63,275,Slaughter,0,2,6,0,0.3125,0.213781916,0.038647343,0.50752818,0.031790123,0.007098765,0.209057971,0.199087493,0.000617284,0.00617284,0.353274289,0.567337627,0.038929147,0.040458937,17492,2010,1274,135,0.070437466,0.392203435,0.716586151,0.539318304,0.079388084,0.432662373,Prime,Prime,Old
2010-1274,Winter,54.42613094,65,275,Slaughter,0,2,6,0,0.3125,0.213781916,0.038647343,0.50752818,0.031790123,0.007098765,0.209057971,0.199087493,0.000617284,0.00617284,0.353274289,0.567337627,0.038929147,0.040458937,17492,2010,1274,135,0.070437466,0.392203435,0.716586151,0.539318304,0.079388084,0.432662373,Prime,Prime,Old
2010-1286,Summer,88.10363405,82,277,Slaughter,0,2,5,0.0585938,0,-0.098718084,0.008211679,0.470035967,0.184333016,0,0.12013382,0.2154607,0,0.001824818,0.144160584,0.732836137,0.084377975,0.038625304,9832,2010,1286,137,0.192544695,0.228538559,0.590169787,0.654368983,0.123003279,0.267163863,Young,Prime,Old
2010-1286,Summer,93.77826848,83,277,Slaughter,0,2,5,0.0585938,0,-0.098718084,0.008211679,0.470035967,0.184333016,0,0.12013382,0.2154607,0,0.001824818,0.144160584,0.732836137,0.084377975,0.038625304,9832,2010,1286,137,0.192544695,0.228538559,0.590169787,0.654368983,0.123003279,0.267163863,Young,Prime,Old
2010-1302,Summer,197.3824023,187,58,Marked,0,2,4,0.0722656,0.25,0.151281916,0.221807892,0.285293029,0.280810325,0,0.013381995,0.173146091,0.006690998,0.018869671,0.277173913,0.580106844,0.085462287,0.057256955,17496,2010,1302,137,0.502618216,0.3626362,0.298675024,0.566103353,0.142719243,0.419893156,Young,Prime,Prime
2010-1302,Summer,197.2791311,194,58,Marked,0,2,4,0.0722656,0.25,0.151281916,0.221807892,0.285293029,0.280810325,0,0.013381995,0.173146091,0.006690998,0.018869671,0.277173913,0.580106844,0.085462287,0.057256955,17496,2010,1302,137,0.502618216,0.3626362,0.298675024,0.566103353,0.142719243,0.419893156,Young,Prime,Prime
2010-1302,Winter,197.3824023,187,58,Marked,0,2,4,0.0722656,0.25,0.151281916,0.063929147,0.403488996,0.266626409,0,0.055045625,0.195477724,0.00308642,0.012345679,0.205689748,0.616854536,0.115713902,0.061741814,17496,2010,1302,135,0.330555556,0.32140365,0.458534622,0.670115405,0.177455717,0.383145464,Young,Prime,Prime
2010-1302,Winter,197.2791311,194,58,Marked,0,2,4,0.0722656,0.25,0.151281916,0.063929147,0.403488996,0.266626409,0,0.055045625,0.195477724,0.00308642,0.012345679,0.205689748,0.616854536,0.115713902,0.061741814,17496,2010,1302,135,0.330555556,0.32140365,0.458534622,0.670115405,0.177455717,0.383145464,Young,Prime,Prime
2010-1304,Summer,134.5790532,162,58,Marked,1,2,2,0.0292969,0,-0.098718084,0.009428224,0.333370809,0.067118822,0.000304136,0.206729791,0.367780577,0.001216545,0.014051095,0.147576514,0.597897223,0.050486618,0.204039645,8704,2010,1304,137,0.076547046,0.198063132,0.5401006,0.400489631,0.254526263,0.402102777,Young,Young,Young
2010-1304,Winter,134.5790532,162,58,Marked,1,2,2,0.0292969,0,-0.098718084,0.033615137,0.445646074,0.154308788,0.007420827,0.073134729,0.283405309,0,0.002469136,0.367856097,0.537515249,0.046265798,0.048362856,8704,2010,1304,135,0.187923925,0.414121895,0.518780803,0.599954863,0.094628654,0.462484751,Young,Young,Young
2010-1307,Summer,67.93951693,70,276,Slaughter,0,2,8,0.09375,0.109375,0.010656916,0.044629995,0.444342188,0.123810734,0,0.039605351,0.344546524,0.000304136,0.002761071,0.410704856,0.412509276,0.070230226,0.106555642,13954,2010,1307,137,0.168440729,0.480935082,0.48394754,0.568152923,0.176785868,0.587490724,Prime,Prime,Old
2010-1307,Summer,183.4789232,180,65,Marked,0,2,8,0.09375,0.109375,0.010656916,0.044629995,0.444342188,0.123810734,0,0.039605351,0.344546524,0.000304136,0.002761071,0.410704856,0.412509276,0.070230226,0.106555642,13954,2010,1307,137,0.168440729,0.480935082,0.48394754,0.568152923,0.176785868,0.587490724,Prime,Prime,Old
2010-1307,Winter,67.93951693,70,276,Slaughter,0,2,8,0.09375,0.109375,0.010656916,0.023433089,0.457797451,0.12972222,0,0.068068081,0.312742758,0,0.008236401,0.352889189,0.412877285,0.133674655,0.100558872,13954,2010,1307,77,0.153155309,0.486563844,0.525865532,0.587519671,0.234233527,0.587122715,Prime,Prime,Old
2010-1307,Winter,183.4789232,180,65,Marked,0,2,8,0.09375,0.109375,0.010656916,0.023433089,0.457797451,0.12972222,0,0.068068081,0.312742758,0,0.008236401,0.352889189,0.412877285,0.133674655,0.100558872,13954,2010,1307,77,0.153155309,0.486563844,0.525865532,0.587519671,0.234233527,0.587122715,Prime,Prime,Old
