year	mass	age	antsizel	antsizer	dens	agecat
13	13.5	1	7	7	2	1
13	10	1	8	6.5	2	1
13	13	1	7	8	2	1
13	12.5	1	7.5	7.5	2	1
13	9	1	10	6	2	1
13	12	1	8	8	2	1
13	15	1	10	6	2	1
13	14.5	1	8	8	2	1
13	15	1	8	10	2	1
13	10.5	1	12	8	2	1
13	13	1	11	11	2	1
13	13	1	11	11	2	1
13	12	1	13	11	2	1
13	12	1	13	11.5	2	1
14	13	1	4	2	2	1
14	13	1	7	7	2	1
14	12	1	8	6	2	1
14	13.5	1	9	9	2	1
14	12.5	1	7	11	2	1
14	13	1	8	12	2	1
14	12.5	1	11	10	2	1
14	13.5	1	10	11	2	1
14	13	1	12	11	2	1
14	15	1	13	14	2	1
15	13	1	4	0	3	1
15	11	1	4	1	3	1
15	12	1	5	5	3	1
15	12	1	4	7	3	1
15	14	1	11	2	3	1
15	13.5	1	6	7	3	1
15	13.5	1	10	3	3	1
15	13	1	6	9	3	1
15	12	1	6.5	9.5	3	1
15	13	1	6	10	3	1
15	13.5	1	6	12	3	1
15	13.5	1	9	9	3	1
15	14	1	10	8	3	1
15	15	1	10	10	3	1
15	11	1	11	10	3	1
16	14.5	1	5	1	2	1
16	9	1	5	1	2	1
16	13	1	4	3	2	1
16	10.5	1	4	4	2	1
16	13	1	5	6	2	1
16	13.5	1	8	8	2	1
16	10.5	1	8	9	2	1
16	13	1	9	9	2	1
16	14	1	11	8	2	1
16	14	1	10	9	2	1
16	14	1	8	13	2	1
16	15	1	11	11	2	1
16	13	1	10	12	2	1
16	11	1	11	12	2	1
16	9	1	14	10	2	1
16	15	1	12	13	2	1
16	12.5	1	13	15	2	1
17	10	1	2	2	3	1
17	12	1	5	4	3	1
17	13	1	8	8	3	1
17	14.5	1	8	9	3	1
17	12	1	9	9	3	1
17	14.5	1	8	10	3	1
17	12.5	1	12	7	3	1
17	14.5	1	11	10	3	1
18	11.5	1	5	1	3	1
18	11.5	1	4	3	3	1
18	11.5	1	4	5	3	1
18	12.5	1	10	8	3	1
18	13	1	9	9	3	1
18	13.5	1	9	9	3	1
18	10.5	1	11	9	3	1
18	11	1	11	9	3	1
18	15	1	11	11	3	1
18	14.5	1	14	11	3	1
18	10.5	1	11	15	3	1
18	14	1	14	14	3	1
1	10	2	10	10	2	2
1	14	2	12	12	2	2
2	13	2	10	10	2	2
2	13	2	15	16	2	2
3	15	2	11	11	2	2
4	14	2	14	12	2	2
4	15	2	14	14	2	2
4	16	2	14	14	2	2
4	13.5	2	17	16	2	2
5	15.5	2	18	18	2	2
5	15.5	2	19	19	2	2
6	13.5	2	15	15	2	2
6	13.5	2	16	17	2	2
7	13	2	13	13	1	2
8	14	2	11.5	12	1	2
8	15	2	15	16.5	1	2
9	16	2	15	15	1	2
9	16	2	18	15	1	2
10	14	2	9.5	7	1	2
10	16.8	2	9.5	10.5	1	2
11	16	2	12	12	1	2
11	15	2	15	14	1	2
11	14.5	2	14	16	1	2
11	17.5	2	19	18	1	2
12	13	2	14	14	3	2
12	14.5	2	14	16	3	2
12	13.5	2	15	16	3	2
14	15	2	15	15	2	2
15	14.5	2	5	5	3	2
15	14	2	13	11	3	2
16	14	2	11.5	12.5	2	2
16	13	2	12	15	2	2
17	12.5	2	5	4	3	2
17	12.5	2	15	12	3	2
18	15	2	14	14	3	2
2	15.5	3	14	15	2	3
2	15.5	3	15	15	2	3
2	15.5	3	16	17	2	3
3	12.5	3	13	13	2	3
3	15	3	15	14.5	2	3
3	14.5	3	15	16	2	3
3	15	3	17	17	2	3
4	13.5	3	11	11	2	3
4	12.5	3	14	12	2	3
4	12.5	3	14	13	2	3
4	13.5	3	15	14	2	3
4	15	3	13	18	2	3
4	14	3	18	16	2	3
4	16.5	3	17	17	2	3
4	14	3	17	18	2	3
5	14	3	16	16	2	3
5	14	3	16.5	16.5	2	3
5	15.5	3	21	20	2	3
6	12	3	13	12	2	3
6	13	3	14	13	2	3
6	14.5	3	15	16	2	3
6	15	3	16	17	2	3
6	14	3	19	19	2	3
7	15	3	20	22	1	3
8	15	3	11.5	13	1	3
8	15.5	3	14	14	1	3
8	15	3	16	15	1	3
8	14.5	3	16	16	1	3
8	16	3	19	20	1	3
9	14.5	3	11	10	1	3
9	15	3	11	13	1	3
9	14	3	17	17	1	3
9	17.5	3	19	18	1	3
9	17	3	19	19	1	3
11	15	3	15	15	1	3
12	16.5	3	20	13	3	3
12	16	3	18	16	3	3
12	15	3	18	16	3	3
12	15.5	3	19	18	3	3
12	14	3	19	19	3	3
12	17	3	20	20	3	3
13	17	3	12	13	2	3
13	14	3	18	19	2	3
13	17.5	3	19	20	2	3
13	16.5	3	21	21	2	3
14	15	3	16	16	2	3
14	14.5	3	14	19	2	3
14	15	3	19	18	2	3
14	13	3	19	19	2	3
15	15	3	8	7	3	3
15	19	3	19	19	3	3
15	15	3	20	18	3	3
16	12	3	12	11	2	3
16	15.5	3	16	16	2	3
16	16.5	3	13	20	2	3
17	14.5	3	16	16	3	3
17	15.5	3	17	17	3	3
17	13.5	3	18	18	3	3
18	14	3	6	9	3	3
18	19	3	11	13	3	3
18	17	3	16	16	3	3
18	16	3	17	17	3	3
18	17	3	19	19	3	3
1	16	4	15	15	2	3
1	16	4	18	19	2	3
1	16	4	18	19	2	3
2	14.5	4	13	14	2	3
2	16	4	18	19	2	3
3	15.5	4	15	16	2	3
3	16	4	16	15.5	2	3
3	16	4	21	21	2	3
4	15	4	12	10	2	3
4	14	4	14	14	2	3
4	14.5	4	14	15	2	3
4	15	4	16	16	2	3
4	14	4	17	16	2	3
4	14.5	4	16.5	17	2	3
4	13	4	17	17	2	3
4	17	4	16	18	2	3
4	16	4	18	17	2	3
4	16.5	4	18.5	17.5	2	3
4	16.5	4	19	18	2	3
4	16	4	20	20	2	3
4	16.5	4	21	21	2	3
4	15	4	22	22	2	3
5	15	4	15	13	2	3
5	14.5	4	17	17	2	3
5	18.5	4	17	17.5	2	3
5	15.5	4	18	19	2	3
5	14.5	4	19	19	2	3
5	15.5	4	19.5	21	2	3
6	13.5	4	16	16	2	3
6	15	4	18	18	2	3
6	15	4	17	19	2	3
6	14.5	4	18	19	2	3
6	16.5	4	20	20	2	3
7	14	4	16	16	1	3
7	15	4	16	17	1	3
7	16	4	17	17	1	3
7	14	4	18	19	1	3
7	17	4	20	19	1	3
8	13.5	4	12	12	1	3
8	14.5	4	16	16	1	3
8	16	4	20	19	1	3
9	12	4	18	14	1	3
9	16	4	17.5	17.5	1	3
9	19	4	18	18	1	3
9	17	4	19	18	1	3
9	19	4	19	20	1	3
9	15.5	4	20	20	1	3
9	17.5	4	22	22.5	1	3
10	17	4	19	19	1	3
11	14.5	4	13.5	15	1	3
11	16	4	17	17	1	3
12	14.5	4	6	13	3	3
12	19.5	4	17	16	3	3
12	17	4	17	17	3	3
12	15	4	18	17	3	3
12	17	4	18	18	3	3
12	17.2	4	18	19	3	3
12	14.5	4	19	18	3	3
12	17	4	19	20	3	3
12	16	4	19	20	3	3
13	14.5	4	16	16.5	2	3
13	17	4	16	17	2	3
13	17	4	17	18	2	3
13	18	4	19	18	2	3
13	18.5	4	21	22	2	3
13	17.5	4	22	22	2	3
13	16	4	22	23	2	3
14	14	4	17	15	2	3
14	15.5	4	18	20	2	3
14	17.5	4	24	22	2	3
15	15.5	4	12	15	3	3
15	16	4	16	18	3	3
15	15	4	18	20	3	3
16	16	4	21	20	2	3
16	15.5	4	21	21	2	3
17	14.5	4	17	16	3	3
18	14	4	15	14	3	3
18	17.5	4	16	16	3	3
18	17	4	17.5	17.5	3	3
1	15.5	5	17	17	2	3
1	15.5	5	19	19	2	3
2	15	5	19	18	2	3
3	13.5	5	18	16	2	3
4	13.5	5	12	13	2	3
4	12.5	5	15	15	2	3
4	16	5	15	16	2	3
4	14	5	17	16	2	3
4	17	5	17	16.5	2	3
4	14	5	19	19	2	3
4	13.5	5	21	19	2	3
5	14	5	18	15	2	3
6	17	5	17	17	2	3
7	16.5	5	16	17	1	3
7	17	5	20	20	1	3
8	14.5	5	18	19	1	3
9	14.5	5	18	17	1	3
9	13.7	5	18	19	1	3
9	18.5	5	20	20	1	3
9	18	5	21	22	1	3
11	16.5	5	18	18	1	3
11	18	5	19	18	1	3
11	16.5	5	23	23	1	3
12	16	5	17	18	3	3
13	17.5	5	15	15	2	3
13	13.5	5	17	18	2	3
13	14.5	5	20	19	2	3
13	17	5	20	21	2	3
13	15	5	21	22	2	3
13	15	5	22	21	2	3
14	17	5	16	14	2	3
14	15	5	12	21	2	3
14	16	5	19	20	2	3
14	16.5	5	21	21	2	3
14	17	5	22	23	2	3
15	15	5	18	18	3	3
15	18	5	19	21	3	3
15	17.5	5	20	20	3	3
16	15	5	10	20	2	3
16	16.5	5	20	19	2	3
17	13.5	5	17	16	3	3
18	17	5	17	18	3	3
2	16.5	6	21	21	2	3
3	16	6	19	18	2	3
4	13	6	15	15	2	3
4	15	6	15	15	2	3
4	16	6	20	20	2	3
4	18.5	6	21	20	2	3
4	16	6	20	21	2	3
7	16	6	19	15	1	3
7	17	6	17.5	17	1	3
7	14	6	18	18	1	3
8	17	6	24	24	1	3
12	16.5	6	17	16.5	3	3
12	16.5	6	24	24	3	3
14	16	6	20	21	2	3
15	18.5	6	21	20	3	3
15	15	6	21	21	3	3
16	20	6	16	16	2	3
17	16.5	6	18	19	3	3
3	17	7	14	12	2	3
3	14	7	17	18	2	3
4	14.5	7	17	17	2	3
5	14.5	7	18	18	2	3
7	17	7	18	18	1	3
7	15	7	22	19	1	3
8	16	7	17.5	18	1	3
8	14.5	7	21	21	1	3
9	16	7	20	20	1	3
9	18.5	7	21	21	1	3
10	18.5	7	18	18	1	3
11	19.3	7	21	19	1	3
12	15	7	20	19	3	3
13	16	7	22	24	2	3
14	15	7	19	20	2	3
17	15	7	18	19	3	3
17	16.5	7	21	22	3	3
18	18	7	18	18	3	3
18	16.5	7	19	17	3	3
18	16	7	23	20.5	3	3
1	17	8	19	19	2	3
1	17.5	8	20	19	2	3
1	14	8	20	20	2	3
1	12	8	21	21	2	3
2	17.5	8	18	17	2	3
2	15.5	8	20	21	2	3
3	15	8	16	18	2	3
4	15.5	8	14	15	2	3
4	18	8	16	16	2	3
4	14.5	8	17	17	2	3
4	17	8	17	17	2	3
4	18	8	18	18	2	3
4	16.5	8	19	20	2	3
4	14.5	8	21	21	2	3
6	14.5	8	19	19	2	3
7	17.5	8	19	19	1	3
9	14	8	17	17	1	3
10	15.5	8	19	19	1	3
10	16.5	8	19	19	1	3
13	17.8	8	22	21	2	3
13	19	8	23	24	2	3
14	15	8	16	14	2	3
14	18	8	19	20	2	3
15	15.5	8	21	22	3	3
16	19	8	19	19	2	3
16	16.5	8	20	20	2	3
17	14	8	15	16	3	3
18	15.5	8	15	14	3	3
18	16	8	21	17	3	3
18	16	8	20	21	3	3
3	13	9	16	16	2	3
4	11	9	11	11	2	3
4	16.5	9	18	21	2	3
4	16	9	21	21	2	3
4	17	9	22	22	2	3
6	15.5	9	15	16	2	3
8	15	9	19	19	1	3
11	16.5	9	19	19	1	3
17	15	9	18	18	3	3
18	19	9	16	17	3	3
3	15	10	15	15	2	3
5	16	10	17	18	2	3
8	18	10	20	20	1	3
9	14	10	16	16	1	3
12	12.5	10	10	7	3	3
12	13.5	10	20	19	3	3
17	16	10	17	18	3	3
17	15	10	18	18	3	3
